MTPID,Title,Sponsor,StartYear,CompletionYear,ScaledCost,CommittedFundSources,Move Ahead Washington,% Funded
4213,SR 16/Burnham Dr Interchange to SR 302 - Auxiliary Lane,WSDOT,2036,2040,"$7,398,109",,No,0.00
5653,I-405 Corridor: SR 520 to NE 70th Pl. Southbound Auxiliary Lane,WSDOT,2026,2030,"$32,390,000",,No,0.00
5440,SR 302/Establish New Corridor,WSDOT,2040,2044,"$362,392,858",,No,0.00
3618,SR 302/Elgin Clifton Rd to 144th St - Mobility,WSDOT,2036,2040,"$18,881,525",,No,0.00
4346,I-405 Corridor: SR 520 to NE 70th Pl. Northbound Auxiliary Lane,WSDOT,2026,2030,"$37,710,000",,No,0.00
4257,SR 522 @ Paradise Lake Road Intersection Improvements,WSDOT,2017,2035,"$171,797,000","Connecting Washington Account, Move Ahead Washington, and State Motor Vehicle Account",Yes,0.23
1720,I-5: Thorne Lane to 38th St- Core HOV,WSDOT,2042,2048,"$394,061,250",State-Move Ahead Washington,Yes,0.68
4391,I-405 Corridor: SR 522 to SR 527 (SR 522 I/C and HOV/ETL Improvements),WSDOT NORTHWEST REGION,2017,2028,"$882,577,250","State, Transportation Partnership Account (TPA), $5,012,358
State, Move Ahead Washington (MAW) $111,567,000
State, 405/167 Express Toll, $676,154,911
None, Unfunded, $47,000,000",Yes,1.00
4351,I-405 Corridor: NE 85th St. to NE 124th St. Widening,WSDOT,2026,2040,"$50,204,500",,No,0.00
5800,SR 167/SR 512 to Ellingson Rd Vicinity - SB ETL Extension,WSDOT,2024,2034,"$309,653,837","Fed STP - MVA = $3,460,000 in PE (PSRC CRP), Ded Fed STP - MVA $3,760,170 in PE (PSRC STBG)
State - 405/167 Express Toll = $74,138,830 ($6,516,830 in PE and $67,622,000 in CN)
State TPA = $5,742,304 ($1,464,304 in PE and $4,278,000 in CN

",No,0.29
4243,SR 512/SR 161 to Pioneer Ave - Mobility,WSDOT,2028,2032,"$71,676,951",,No,0.00
5714,I-405 Corridor: I-5/I-405 to 164th Street SW Auxiliary Lane,WSDOT,2024,2028,"$49,186,800","State, 405/167 Express Toll.",No,1.00
4216,SR 18/Issaquah-Hobart Rd to Deep Creek Vicinity - Widening,WSDOT,2018,2035,"$1,744,000,000",Move Ahead Washington and State Special Category C Move Ahead Washington and State Special Category C,Yes,0.42
4412,US 2: Trestle Widening - Stage 1,WSDOT,2016,2031,"$229,489,690",Move Ahead Washington,Yes,1.00
4095,SR 303/11th St to Fairgrounds Rd - Access and Transit Lanes,WSDOT,2036,2040,"$253,627,716",,No,0.00
1639,SR 531: 43rd Ave. to 67th Ave. Widening,WSDOT,2019,2029,"$56,455,973",Connecting Washington Account,No,0.73
5344,SR 161/36th to Vicinity 24th St E - Widen to 5 lanes,WSDOT,2028,2032,"$38,479,405","Federal STP, State NIC, Rstric St - SPC, State MVA",No,0.00
4237,SR 305/Winslow Ferry to Hostmark St - Safety Improvements,WSDOT,2019,2032,"$42,355,300",State - Connecting Washington,No,1.00
5678,SR 104 /Realignment for Ferry Traffic,WSDOT,2024,2032,"$32,788,763",State - Move Ahead Washington,Yes,0.59
4467,SR 526 Corridor Improvements,WSDOT,2017,2027,"$49,604,047",Connecting Washington Account,No,1.00
4528,SR 520 @ 124th Ave. NE Interchange Improvements,WSDOT,2019,2026,"$372,250,000","State, Connecting WA Account (CWA).",No,0.16
1832,SR 3/Big Valley Rd to SR 104 - Add Lane,WSDOT,2040,2044,"$26,919,091",,No,0.00
4190,I-5/ SR 512 Stage 1,WSDOT,2035,2040,"$65,836,785",,No,0.00
5802,SR 3/Freight Corridor - New Alignment,WSDOT,2019,2029,"$17,771,630",State - Connecting Washington,No,0.78
