MTPID,Title,Sponsor,StartYear,CompletionYear,ScaledCost,CommittedFundSources,Move Ahead Washington,% Funded
4213,SR 16/Burnham Dr Interchange to SR 302 - Auxiliary Lane,WSDOT,2036,2040,7398109.2,,No,0
5653,I-405 Corridor: SR 520 to NE 70th Pl. Southbound Auxiliary Lane,WSDOT,2026,2030,32390000,,No,0
5440,SR 302/Establish New Corridor,WSDOT,2040,2044,362392857.9,,No,0
3618,SR 302/Elgin Clifton Rd to 144th St - Mobility,WSDOT,2036,2040,18881525,,No,0
4346,I-405 Corridor: SR 520 to NE 70th Pl. Northbound Auxiliary Lane,WSDOT,2026,2030,37710000,,No,0
4257,SR 522 @ Paradise Lake Road Intersection Improvements,WSDOT,2017,2035,171797000,"Connecting Washington Account, Move Ahead Washington, and State Motor Vehicle Account",Yes,0.23
1720,I-5: Thorne Lane to 38th St- Core HOV,WSDOT,2042,2048,394061250,State-Move Ahead Washington,Yes,0.68
4391,I-405 Corridor: SR 522 to SR 527 (SR 522 I/C and HOV/ETL Improvements),WSDOT NORTHWEST REGION,2017,2028,882577250,"State, Transportation Partnership Account (TPA), $5,012,358
State, Move Ahead Washington (MAW) $111,567,000
State, 405/167 Express Toll, $676,154,911
None, Unfunded, $47,000,000",Yes,1
4351,I-405 Corridor: NE 85th St. to NE 124th St. Widening,WSDOT,2026,2040,50204500,,No,0
5800,SR 167/SR 512 to Ellingson Rd Vicinity - SB ETL Extension,WSDOT,2024,2034,309653836.6,"Fed STP - MVA = $3,460,000 in PE (PSRC CRP), Ded Fed STP - MVA $3,760,170 in PE (PSRC STBG)
State - 405/167 Express Toll = $74,138,830 ($6,516,830 in PE and $67,622,000 in CN)
State TPA = $5,742,304 ($1,464,304 in PE and $4,278,000 in CN

",No,0.29
4243,SR 512/SR 161 to Pioneer Ave - Mobility,WSDOT,2028,2032,71676950.636,,No,0
5714,I-405 Corridor: I-5/I-405 to 164th Street SW Auxiliary Lane,WSDOT,2024,2028,49186800,"State, 405/167 Express Toll.",No,1
4216,SR 18/Issaquah-Hobart Rd to Deep Creek Vicinity - Widening,WSDOT,2018,2035,1744000000,Move Ahead Washington and State Special Category C Move Ahead Washington and State Special Category C,Yes,0.42
4412,US 2: Trestle Widening - Stage 1,WSDOT,2016,2031,229489690,Move Ahead Washington,Yes,1
4095,SR 303/11th St to Fairgrounds Rd - Access and Transit Lanes,WSDOT,2036,2040,253627716,,No,0
1639,SR 531: 43rd Ave. to 67th Ave. Widening,WSDOT,2019,2029,56455973.185,Connecting Washington Account,No,0.73
5344,SR 161/36th to Vicinity 24th St E - Widen to 5 lanes,WSDOT,2028,2032,38479404.523,"Federal STP, State NIC, Rstric St - SPC, State MVA",No,0
4237,SR 305/Winslow Ferry to Hostmark St - Safety Improvements,WSDOT,2019,2032,42355300,State - Connecting Washington,No,1
5678,SR 104 /Realignment for Ferry Traffic,WSDOT,2024,2032,32788762.731,State - Move Ahead Washington,Yes,0.59
4467,SR 526 Corridor Improvements,WSDOT,2017,2027,49604047,Connecting Washington Account,No,1
4528,SR 520 @ 124th Ave. NE Interchange Improvements,WSDOT,2019,2026,372250000,"State, Connecting WA Account (CWA).",No,0.16
1832,SR 3/Big Valley Rd to SR 104 - Add Lane,WSDOT,2040,2044,26919091,,No,0
4190,I-5/ SR 512 Stage 1,WSDOT,2035,2040,65836785.413,,No,0
5802,SR 3/Freight Corridor - New Alignment,WSDOT,2019,2029,17771630.158,State - Connecting Washington,No,0.78
4207,SR 9: Marsh Rd. to 2nd St. Widening,WSDOT,2018,2028,149230547.253,Connecting Washington Account,No,1
5759,SR 410/254th Ave E to Cole St - Widening,WSDOT,2036,2040,63830067.7,,No,0
4415,SR 99/ Evergreen Way: 148th St SW to Airport Rd,WSDOT,2028,2037,69712925.824,"$30,072,142 Move Ahead Washington and $4,275,122 PSRC grant funding",Yes,0.57
1651,SR 16/Olympic Interchange to Purdy Interchange - Core HOV,WSDOT,2037,2043,181575925.064,,No,0
4181,SR 3/Pioneer Way NW to Big Valley Rd NE - Truck Climbing Lane,WSDOT,2035,2039,17609785.142,,No,0
2897,Tacoma to Puyallup Regional Trail,WSDOT,2012,2030,0,WSDOT led project. ,No,NA
1722,SR 167/I-5 to SR 509 - Stage 1B,WSDOT,2017,2026,638310324.5,"Local MVA, CWA, MMA STP, NHPP, CMAQ-MVA, C2-MAW-F-Cred",Yes,1
4426,SR 16 @ Wollochet Interchange,WSDOT,2036,2040,9992325.763,,No,0
5803,SR 167 - SR 516 to S 277th St - Northbound Aux Lanes,WSDOT,2025,2030,348426000,,No,0
4206,SR 9 - 176th St SE to SR 96,WSDOT,2013,2035,114278509.12,Transportation Partnership Account,No,0.2
1727,SR 16/SR 160 to SR 3 - Widening,WSDOT,2040,2045,161656851.566,,No,0
1811,SR 16/SR 302 to Pierce-Kitsap County Line,WSDOT,2038,2042,66597987.942,,No,0
4307,I-405 Corridor: SR 167 Interchange Area Improvements (Tier I),WSDOT,2026,2030,254261500,,No,0
1821,SR 512/W of 94th Ave WB Ramps to SR 161 - Widening,WSDOT,2032,2035,25366000,,No,0
4338,I-405 Corridor: Downtown Bellevue Access I-90 to NE 4th St,WSDOT,2026,2030,632825000,,No,0
1833,SR 16/Pierce-Kitsap County Line to SR 160,WSDOT,2042,2048,92028949.115,,No,0
1613,"SR 509 Extension (with I-5), Phase 1",WSDOT,2016,2029,1159558386,"All of the following funds/amounts are committed:
FEDERAL
  Ded Fed HP - MVA, $73,664,340
  Ded Fed STP - MVA, $11,500,000
  Ded Fed-MAW-CRED, $7,742,457
  Federal - MAW, $253,474,595
  Federal STP - MVA, $158,948,000
STATE
  State - CWA, $472,775,661
  State - MAW, $41,149,796
  State - MVA, $3,020,248
  State - PSGW Toll, $96,600,000
  State - TPA, $516,504
LOCAL
  Local - MVA, $40,166,785",Yes,1
4419,I-5/Mounts Rd to Steilacoom-Dupont Rd. - Corridor Improvements,WSDOT,2017,2026,246401458.675,CWA,No,1
1659,SR 167/I-5 to SR 161 - New Expressway,WSDOT,2016,2029,712432599.875,"State - CWA
State - MMA
Ded Fed STP - MVA
Federal NHPP - MVA
Local - MVA
State - MAW
State - PSGW Toll
C2-MAW-F-CRED
PSRC Grant
",Yes,1
4411,I-5 @ 156th St. NE Interchange,WSDOT,2025,2031,62538000,Connecting Washington Account,No,1
4401,I-405 Corridor: SR 527 to I-5 ETL Widening and Interchange Improvements,WSDOT,2026,2030,848475000,,No,0
4250,SR 520 Seattle Corridor Improvements - West End ,WSDOT,2016,2032,2829066035,"State Motor Vehicle Account, Connecting Washington Account, Move Ahead Washington, 520 Toll Account, SR520 Civil Penalties, Transportation Future Funding, Local funding.",Yes,1
5894,SR512: I-5 to SR167-Add Managed Lanes,WSDOT,2035,2042,211460000,,No,0
4180,SR 3/SR 305 to SR 104 - Widening and Signalization,WSDOT,2036,2040,87446803.744,,No,0
1698,SR 522: Paradise Lake Rd. to Snohomish River Widening,WSDOT,2017,2035,197163000,"Connecting Washington Account, Move Ahead Washington, and State Motor Vehicle Account",Yes,0.2
5535,I-5 @ SR 18/SR 161 (Triangle) - phase 2,WSDOT,2021,2035,285732041.704,Connecting Washington Account,No,0.46
